raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Đại học Bách Khoa Hà Nội,Điện tử viễn thông,dien tu vien thong,29,dai hoc bach khoa ha noi,58,dai hoc bach khoa ha noi,100
đại học cần thơ,luật thương mại,luat thuong mai,27,dai hoc can tho,67,dai hoc can tho,100
Đại Học Thuỷ Lợi,Kỹ thuật tài nguyên nước,ky thuat tai nguyen nuoc,35,dai hoc thuy loi,50,dai hoc thuy loi,100
Đại Học Công Nghiệp TP.HCM,Kế Toán - Kiểm Toán,ke toan kiem toan,29,dai hoc cong nghiep hcm,49,dai hoc cong nghiep   hcm,96
co điện dong nai,ngành tien phay bao,nganh tien phay bao,40,co dien dong nai,88,None,-1
Đại Học Tôn Đức Thắng,Tài chính-Ngân hàng,tai chinh ngan hang,40,dai hoc ton duc thang,52,dai hoc ton duc thang,100
Đại Học Công Nghiệp Thực Phẩm Tp.HCM,Công Nghệ Chế Biến Thủy Sản,cong nghe che bien thuy san,33,dai hoc cong nghiep thuc pham hcm,52,None,-1
Đại học Văn Lang,Công nghệ sinh học,cong nghe sinh hoc,29,dai hoc van lang,62,dai hoc van lang,100
Cao đẳng phát thanh truyền hình II,Báo chí,bao chi,15,cao dang phat thanh truyen hinh 2,78,cao dang phat thanh truyen hinh  2 ,97
Cao Đẳng phát thanh truyền hình II,Báo chí,bao chi,15,cao dang phat thanh truyen hinh 2,78,cao dang phat thanh truyen hinh  2 ,97
Đại học Công Nghệ TP.HCM,Marketing,marketing,27,dai hoc cong nghe hcm,49,dai hoc cong nghe   hcm,95
Trường cao đẳng thực hành fpt,kế toán doanh nghiệp,ke toan doanh nghiep,44,cao dang thuc hanh fpt,69,cao dang thuc hanh fpt,100
University of Economics and Law,Economics,economics,40,university of economics and law,90,None,-1
Trường Trung cấp Văn thư lưu trữ TW,Hành chính Văn thư,hanh chinh van thu,35,trung cap van thu luu tru tw,60,None,-1
Trường Đại học Vinh,Ngôn ngữ Anh,ngon ngu anh,33,dai hoc vinh,52,dai hoc vinh,100
Đại học Công nghiệp thực phẩm TP HCM,Đảm bảo chất lượng và an toàn thực phẩm,dam bao chat luong an toan thuc pham,44,dai hoc cong nghiep thuc pham hcm,64,None,-1
Univeristy of Georgia,Finance and International Business,finance and international business,29,univeristy of georgia,90,None,-1
trường đào tạo và sát hạch lái xe sóng thần,lái xe b2,lai xe b2,29,dao tao sat hach lai xe song than,66,None,-1
Đại Học Tài Chính Marketing,Kế toán doanh nghiệp,ke toan doanh nghiep,38,dai hoc tai chinh marketing,67,dai hoc tai chinh   marketing,96
Đại học Kinh Tế- Luật,Luật Dân sự,luat dan su,19,dai hoc kinh te luat,59,None,-1
Đại học Bình Dương,Tài chính ngân hàng,tai chinh ngan hang,43,dai hoc binh duong,56,dai hoc binh duong,100
cao đẳng công đồng sóc trăng,kế toán,ke toan,17,cao dang cong dong soc trang,75,cao dang cong dong soc trang,100
Đh Y khoa Phạm Ngọc Thạch+ĐH QT Hồng Bàng,Điều dưỡng,dieu duong,16,dai hoc y khoa pham ngoc thach+ dai hoc qt hong bang,54,None,-1
Đại học Duy Tân,Quản Trị Khách Sạn,quan tri khach san,30,dai hoc duy tan,60,dai hoc duy tan,100
University of Economics and Law,Business Administration,business administration,37,university of economics and law,90,None,-1
Học viện hàng không việt nam,An ninh hàng không,an ninh hang khong,52,hoc vien hang khong viet nam,79,hoc vien hang khong viet nam,100
dh sài gòn,giáo dục tiểu học,giao duc tieu hoc,38,dai hoc sai gon,64,dai hoc sai gon,100
Đại Học Công Nghệ TPHCM,Tài chính Ngân Hàng,tai chinh ngan hang,40,dai hoc cong nghe hcm,45,dai hoc cong nghe   hcm,95
Đại học Công Nghiệp TPHCM,Tài chính - Ngân hàng,tai chinh ngan hang,36,dai hoc cong nghiep hcm,54,dai hoc cong nghiep   hcm,96
Aiwa foreign language(Tại Nhật),Tiếng Nhật,tieng nhat,19,aiwa foreign language,77,None,-1
saigontourist,quản trị lưu trú,quan tri luu tru,28,saigontourist,100,None,-1
Đh công nghệ Sài Gòn,Thiết kế thời trang,thiet ke thoi trang,32,dai hoc cong nghe sai gon,58,dai hoc cong nghe sai gon,100
Đại học Ngoại Ngữ - Đại học quốc gia Hà Nội,Ngôn ngữ Anh,ngon ngu anh,23,dai hoc ngoai ngu dai hoc quoc gia ha noi,62,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
Ho Chi Minh University of Science,Material Science,material science,49,hcm university of science,72,None,-1
Đại Học Cần Thơ,Sinh Học,sinh hoc,35,dai hoc can tho,47,dai hoc can tho,100
DH Ngân hàng tp hcm,tài chính ngân hàng,tai chinh ngan hang,55,dai hoc ngan hang hcm,55,dai hoc ngan hang   hcm,95
Đại học Trà Vinh,kế toán,ke toan,26,dai hoc tra vinh,62,dai hoc tra vinh,100
trung tâm nhật ngữ kunichi,tiếng Nhật,tieng nhat,33,trung tam nhat ngu kunichi,88,None,-1
viện nghiên cứu Châu Á,chuyên viên XNK,chuyen vien xnk,27,vien nghien cuu chau a,73,None,-1
vien nghien cuu Châu Á,hành chánh- nhân sự,hanh chanh nhan su,34,vien nghien cuu chau a,86,None,-1
Đại học Khoa Học Tự Nhiên,Vật Liệu Nano Và Màng Mỏng,vat lieu nano mang mong,29,dai hoc khoa hoc tu nhien,67,None,-1
Đại Học Ngân Hàng Tp.HCM,Quản trị kinh doanh,quan tri kinh doanh,35,dai hoc ngan hang hcm,44,dai hoc ngan hang   hcm,95
Đại Học Kinh tế Quốc dân- NEU,Kinh tế đầu tư,kinh te dau tu,38,dai hoc kinh te quoc dan neu,56,None,-1
Đại học Nông Lâm TP HCM,Kế toán,ke toan,22,dai hoc nong lam hcm,47,dai hoc nong lam   hcm,95
việt khoa,Quản Trị Mạng,quan tri mang,9,viet khoa,89,None,-1
đại học nông lâm tp hcm,công nghệ thực phẩm,cong nghe thuc pham,41,dai hoc nong lam hcm,70,dai hoc nong lam   hcm,95
linconl university,business administration,business administration,34,linconl university,100,None,-1
Học viện Nông Nghiệp Việt Nam,Kinh tế,kinh te,28,hoc vien nong nghiep viet nam,66,hoc vien nong nghiep viet nam,100
Đại Học Lâm Nghiệp Việt Nam,Kế Toán,ke toan,18,dai hoc lam nghiep viet nam,59,None,-1
ĐẠI HỌC MỞ-TP HỒ CHÍ MINH,TÀI CHÍNH NGÂN HÀNG,tai chinh ngan hang,18,dai hoc mo hcm,15,None,-1
CAO ĐẲNG KINH TẾ ĐỐI NGOẠI,XUẤT NHẬP KHẨU,xuat nhap khau,10,cao dang kinh te doi ngoai,19,cao dang kinh te doi ngoai,100
ĐẠI HỌC NGUYỄN TẤT THÀNH,TÀI CHÍNH NGÂN HÀNG,tai chinh ngan hang,14,dai hoc nguyen tat thanh,17,dai hoc nguyen tat thanh,100
Trường Cai đẳng nghề BRVT,Điện Kĩ Thuật,dien ki thuat,32,cai dang nghe brvt,47,None,-1
cao đẳng nghề viêt nam - singapore,Điển tử công nghiêp,dien tu cong nghiep,35,cao dang nghe viet nam singapore,85,cao dang nghe viet nam   singapore,97
ĐH Công Nghiệp TP. HCM,Tài Chính - Ngân Hàng,tai chinh ngan hang,36,dai hoc cong nghiep hcm,40,dai hoc cong nghiep   hcm,96
ĐH Khoa học Xã hội và Nhân văn,Văn hóa học,van hoa hoc,28,dai hoc khoa hoc xa hoi nhan van,55,None,-1
Đại Học Công Nghệ TP. Hồ Chí Minh ( HUTECH),Điện Tử - Viễn Thông,dien tu vien thong,34,dai hoc cong nghe hcm,34,dai hoc cong nghe   hcm,95
ĐH Tài nguyên & Môi trường TP.HCM,Quản lí Môi trường,quan li moi truong,35,dai hoc tai nguyen moi truong hcm,48,dai hoc tai nguyen moi truong   hcm,97
Đại học Kinh tế quốc dân,Kế toán thuế,ke toan thue,33,dai hoc kinh te quoc dan,71,dai hoc kinh te quoc dan,100
đại học mỏ địa chất hà nội,tự động hoá,tu dong hoa,22,dai hoc mo dia chat ha noi,65,None,-1
đại học kinh tế kỹ thuật công nghiệp hà nội,kế toán,ke toan,20,dai hoc kinh te ky thuat cong nghiep ha noi,77,None,-1
Đại học công nghệ Sài Gòn,Quản trị Marketing,quan tri marketing,28,dai hoc cong nghe sai gon,64,dai hoc cong nghe sai gon,100
THPT Nguyen Tat Thanh Quan 6,khong co,khong co,22,thpt nguyen tat thanh quan 6,71,None,-1
Kinh Tế - Tài Chính,Marketing,marketing,38,kinh te tai chinh,56,None,-1
Đại học Quốc tế- Đại học Quốc gia TPHCM,Quản trị kinh doanh,quan tri kinh doanh,36,dai hoc quoc te dai hoc quoc gia hcm,59,dai hoc quoc te dai hoc quoc gia hcm,100
Trường Trung Cấp Kinh Tế Khánh Hòa,Kế toán,ke toan,18,trung cap kinh te khanh hoa,56,None,-1
Đại học Hoa Sen,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,24,dai hoc hoa sen,67,dai hoc hoa sen,100
cao đẳng miền nam,dược sỹ,duoc sy,17,cao dang mien nam,82,cao dang mien nam,100
Đại học nông lâm Hồ Chí Minh,kế toán tổng hợp,ke toan tong hop,39,dai hoc nong lam hcm,54,dai hoc nong lam   hcm,95
Trường Đại học tài nguyên và môi trường Tphcm,Quản lý đất đai,quan ly dat dai,25,dai hoc tai nguyen moi truong hcm,64,dai hoc tai nguyen moi truong   hcm,97
Trường Đại học Kinh tế tp. Hồ Chí Minh,Kiểm toán,kiem toan,29,dai hoc kinh te hcm,42,dai hoc kinh te   hcm,95
Đại học Nông Lâm TP. Hồ Chí Minh,Ngôn ngữ Anh,ngon ngu anh,31,dai hoc nong lam hcm,42,dai hoc nong lam   hcm,95
Đại học Kinh tế - Tài chính,Kinh doanh quốc tế,kinh doanh quoc te,37,dai hoc kinh te tai chinh,65,None,-1
Cao đẳng y tế tiền giang,Cao đẳng Dược,cao dang duoc,32,cao dang y te tien giang,79,cao dang y te kien giang,96
CAT,kế toán - kiểm toán,ke toan kiem toan,9,cat,0,None,-1
kinh tế  vinh,kế toán,ke toan,42,kinh te vinh,88,None,-1
Cao Đẳng Cộng Đồng,kế toán,ke toan,24,cao dang cong dong,61,None,-1
Đại học Tây Nguyên,Giáo dục Tiểu học,giao duc tieu hoc,29,dai hoc tay nguyen,61,dai hoc tay nguyen,100
Đại học quốc gia Hà Nội,Sư Phạm Vật Lí,su pham vat li,22,dai hoc quoc gia ha noi,65,dai hoc quoc gia ha noi,100
Hcm city college of economics,International Bussiness,international bussiness,23,hcm city college of economics,97,None,-1
ĐH Bách Khoa,Họa viên kiến trúc,hoa vien kien truc,26,dai hoc bach khoa,53,None,-1
việt nam-singapor,cơ khí chế tạo máy,co khi che tao may,17,viet nam singapor,88,None,-1
Đại Học Tôn Đức Thắng,Kế toán,ke toan,29,dai hoc ton duc thang,52,dai hoc ton duc thang,100
Đại học Tôn Đức Thắng,Quản Trị Kinh Doanh Quốc Tế,quan tri kinh doanh quoc te,38,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Đại học Sư phạm Hà Nội,Tâm lý học trường học,tam ly hoc truong hoc,28,dai hoc su pham ha noi,55,dai hoc su pham ha noi,100
Đại học văn hoá Hà Nội,báo chí,bao chi,21,dai hoc van hoa ha noi,59,dai hoc van hoa ha noi,100
Đại học Vinh,Sư phạm Hóa học,su pham hoa hoc,30,dai hoc vinh,67,dai hoc vinh,100
Đại học Kinh Tế TPHCM,Ngân Hàng,ngan hang,14,dai hoc kinh te hcm,50,dai hoc kinh te   hcm,95
trường đại học Nông Lâm,Thiết kế cảnh quan,thiet ke canh quan,35,dai hoc nong lam,46,None,-1
Đại học Lao động - Xã hội (CSII),Quản trị kinh doanh,quan tri kinh doanh,33,dai hoc lao dong xa hoi,51,dai hoc lao dong   xa hoi,96
cao đẳng nghề bách khoa,công nghệ thông tin,cong nghe thong tin,48,cao dang nghe bach khoa,83,cao dang nghe bach khoa,100
Cao Đẳng Thương Mại,kế toán thương mại và dịch vụ,ke toan thuong mai dich vu,42,cao dang thuong mai,58,cao dang thuong mai,100
Trường Đại Học Vinh,Ngành kế toán,nganh ke toan,24,dai hoc vinh,45,dai hoc vinh,100
FTMS Global - Việt Nam ,Khoá học chứng chỉ ACCA,khoa hoc chung chi acca,19,ftms global viet nam,56,None,-1
Đại học Kinh tế Quốc dân,Tiếng Anh thương mại,tieng anh thuong mai,32,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Nguyễn Du,phục vụ,phuc vu,33,nguyen du,63,None,-1
đại học hàng hải,khai thác máy tàu biển,khai thac may tau bien,42,dai hoc hang hai,69,None,-1
Đại Học Giao Thông Vận Tải Hà Nội,Kinh tế xây dựng,kinh te xay dung,29,dai hoc giao thong van tai ha noi,55,None,-1
cao đẳng công nghiệp Nam Định,Điện công nghiệp,dien cong nghiep,49,cao dang cong nghiep nam dinh,76,cao dang cong nghiep nam dinh,100
Đại học Bách Khoa Hà Nội,Kế toán,ke toan,19,dai hoc bach khoa ha noi,58,dai hoc bach khoa ha noi,100
Ngoại Thương CS2,Kinh tế đối ngoại,kinh te doi ngoai,32,ngoai thuong co so 2,50,None,-1
Học viện Báo chí và Tuyên truyền,Báo chí,bao chi,22,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
Đh Luật TPHCM,Luật,luat,20,dai hoc luat hcm,34,None,-1
THPT Tây Hồ,THPT,thpt,0,thpt tay ho,27,None,-1
Học viện Báo chí và Tuyên truyền,Nghiệp vụ MC,nghiep vu mc,20,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
cao đẳng kinh tế tphcm,kế toán,ke toan,22,cao dang kinh te hcm,81,cao dang kinh te   hcm,95
Đại học Công Nghệ TpHCM,Kế toán tài chính,ke toan tai chinh,32,dai hoc cong nghe hcm,50,dai hoc cong nghe   hcm,95
Đại học Nguyễn Tất Thành,Quản lý môi trường,quan ly moi truong,29,dai hoc nguyen tat thanh,62,dai hoc nguyen tat thanh,100
Đại Học Duy Tân,Tiếng Anh biên -phiên dịch ,tieng anh bien phien dich,29,dai hoc duy tan,53,dai hoc duy tan,100
huflit,quản trị kinh doanh,quan tri kinh doanh,16,huflit,100,None,-1
Đại học y khoa Phạm Ngọc Thạch,bác sĩ đa khoa,bac si da khoa,39,dai hoc y khoa pham ngoc thach,80,dai hoc y khoa pham ngoc thach,100
đh mỹ thuật công nghiệp,đồ họa,do hoa,18,dai hoc my thuat cong nghiep,71,dai hoc my thuat cong nghiep,100
Đại học kiến trúc Hà Nội,Xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,32,dai hoc kien truc ha noi,62,dai hoc kien truc ha noi,100
trường ĐHBK hà nội,cơ khí,co khi,27,dai hoc bach khoa ha noi,29,dai hoc bach khoa ha noi,100
Đại học công nghiệp thực phẩm TP hcm,công nghệ thực phẩm,cong nghe thuc pham,58,dai hoc cong nghiep thuc pham hcm,75,None,-1
Đại Học Tôn Đức Thắng,Kế Toán - Kiểm Toán,ke toan kiem toan,30,dai hoc ton duc thang,52,dai hoc ton duc thang,100
Đh Luật Tphcm,Anh Văn Pháp Lí,anh van phap li,26,dai hoc luat hcm,55,None,-1
Đại Học Kinh Tế,Khai Báo Thuế,khai bao thue,43,dai hoc kinh te,53,None,-1
University of Finance and Marketing,Accounting,accounting,27,university of finance and marketing,91,None,-1
IIG Việt Nam,Toeic 520 điểm,toeic 520 diem,31,2 g viet nam,50,None,-1
ĐH CNTT Gia Định,Tài chính Ngân hàng,tai chinh ngan hang,40,dai hoc cntt gia dinh,38,None,-1
Đại học Công nghiệp Việt Hung,Tài chính Ngân hàng,tai chinh ngan hang,42,dai hoc cong nghiep viet hung,69,dai hoc cong nghiep viet hung,100
ĐẠI HỌC VĂN LANG,CÔNG NGHỆ SINH HỌC,cong nghe sinh hoc,18,dai hoc van lang,19,dai hoc van lang,100
Trường Cao đẳng Sư phạm Thừa Thiên Huế,Sư phạm Mỹ thuật,su pham my thuat,38,cao dang su pham thua thien hue,55,cao dang su pham thua thien hue,100
đại học lao động xã hội,kế toán,ke toan,20,dai hoc lao dong xa hoi,70,dai hoc lao dong   xa hoi,96
Đại Học Ngân Hàng TPHCM,Kế toán-kiểm toán,ke toan kiem toan,26,dai hoc ngan hang hcm,45,dai hoc ngan hang   hcm,95
Đại học Sài Gòn,Văn thư- Lưu trữ,van thu luu tru,26,dai hoc sai gon,53,dai hoc sai gon,100
Aptech,lập trình viên,lap trinh vien,30,aptech,83,None,-1
Đại học Mở Thành phố Hồ Chí Minh,Luật kinh tế,luat kinh te,23,dai hoc mo hcm,30,None,-1
Đại học Đà Lạt,Ngôn ngữ Anh,ngon ngu anh,15,dai hoc da lat,50,dai hoc da lat,100
đại học sư phạm tp hcm,giáo dục tiểu học,giao duc tieu hoc,44,dai hoc su pham hcm,68,dai hoc su pham   hcm,95
Đại học kinh tế luật,Luật kinh doanh,luat kinh doanh,40,dai hoc kinh te luat,75,None,-1
Đại học Sư phạm,Giáo viên Tiểu học,giao vien tieu hoc,36,dai hoc su pham,60,None,-1
"trung cấp nghề soos7, qk7",lái xe ô tô,lai xe o to,23,trung cap nghe soos7 qk7,90,None,-1
Cao Đẳng Kinh Tế Công Nghệ TP.HCM,Quản Trị Kinh Doanh,quan tri kinh doanh,37,cao dang kinh te cong nghe hcm,54,cao dang kinh te cong nghe   hcm,97
Hutech,Tài chính ngân hàng,tai chinh ngan hang,16,hutech,83,None,-1
Đại Học Khoa Học Xã Hội Và Nhân Văn TpHCM,Xã hội học,xa hoi hoc,26,dai hoc khoa hoc xa hoi nhan van hcm,47,None,-1
Trường ĐH Văn Hóa TP.HCM,Kinh doanh xuất bản phẩm,kinh doanh xuat ban pham,42,dai hoc van hoa hcm,28,dai hoc van hoa   hcm,95
Đại Học Đồng Tháp,Quản Trị Kinh Doanh,quan tri kinh doanh,33,dai hoc dong thap,53,dai hoc dong thap,100
KTKT Binh Duong,Cong nghe thong tin,cong nghe thong tin,41,ktkt binh duong,60,None,-1
Trung học cơ sở Việt long,chuyên môn,chuyen mon,23,trung hoc co so viet long,76,None,-1
Trung học cơ sở Việt long,chuyên môn,chuyen mon,23,trung hoc co so viet long,76,None,-1
trung cap,tin hoc,tin hoc,50,trung cap,100,None,-1
Đại học Nông Nghiệp Hà Nội,Kinh tế,kinh te,24,dai hoc nong nghiep ha noi,58,dai hoc cong nghiep ha noi,96
Đại học Công Đoàn,Quản trị nhân lực,quan tri nhan luc,24,dai hoc cong doan,59,dai hoc cong doan,100
trung cap tong hop ha noi,mam non,mam non,31,trung cap tong hop ha noi,100,None,-1
cao đẳng y tế quảng ninh,điều dưỡng đa khoa,dieu duong da khoa,38,cao dang y te quang ninh,83,cao dang y te quang ninh,100
Tài Chính-Hải Quan,Xuất Nhập Khẩu,xuat nhap khau,38,tai chinh hai quan,56,None,-1
cao dang kinh te thuat cong nghiep,ke toan,ke toan,29,cao dang kinh te thuat cong nghiep,100,None,-1
Đại Học Cần Thơ,Quản Lý Công Nghiệp,quan ly cong nghiep,29,dai hoc can tho,47,dai hoc can tho,100
ĐH Bách Khoa HN,Cơ khí động lực,co khi dong luc,26,dai hoc bach khoa ha noi,41,dai hoc bach khoa ha noi,100
CAO ĐẲNG HẢI DƯƠNG,Chăn nuôi thú y,chan nuoi thu y,30,cao dang hai duong,17,None,-1
Đại học khoa học xã hội và nhân văn tp.Hcm,Ngữ Văn Trung Quốc,ngu van trung quoc,21,dai hoc khoa hoc xa hoi nhan van hcm,74,None,-1
Kinh tế và Quản Tri Kinh Doanh Thai Nguyên,Kinh tế đầu tư,kinh te dau tu,34,kinh te quan tri kinh doanh thai nguyen,72,None,-1
Đại học Nội vụ Hà Nội,Quản trị nhân lưc,quan tri nhan luc,26,dai hoc noi vu ha noi,52,None,-1
trường đại học khoa học xã hội  nhân văn,ngôn ngữ trung quốc,ngon ngu trung quoc,15,dai hoc khoa hoc xa hoi nhan van,72,None,-1
dh kỹ thuật công nghệ tp hcm,cntt,cntt,18,dai hoc ky thuat cong nghe hcm,72,None,-1
đại học thương mại,nghành Quản lí Kinh tế,nghanh quan li kinh te,30,dai hoc thuong mai,67,dai hoc thuong mai,100
